Website,Product Name,Category,Brand,Price,Original Price (MRP),Discount Percentage,Rating,Reviews,Favorable Feedback,Critical Feedback
Myntra,Lakme Beauty Product 779,Beauty,Lakme,23543.77,26351.52,10.65,3.1,2314,1967,347
Myntra,Apple Electronics Product 178,Electronics,Apple,34124.95,46285.91,26.27,4.1,4743,3884,859
Myntra,L'Oreal Beauty Product 179,Beauty,L'Oreal,2459.74,2906.14,15.36,3.1,2952,2663,289
Myntra,Dell Electronics Product 520,Electronics,Dell,29285.12,36533.96,19.84,4.5,735,555,180
Myntra,Philips Home Appliances Product 413,Home Appliances,Philips,9314.47,11684.78,20.29,1.6,4517,2393,2124
Myntra,Penguin Books Product 655,Books,Penguin,26408.48,36927.09,28.48,1.7,2186,2121,65
Myntra,Hachette Books Product 217,Books,Hachette,18271.66,22554.58,18.99,1.7,54,41,13
Myntra,Hachette Books Product 753,Books,Hachette,12626.61,18741.63,32.63,3.7,3763,3202,561
Myntra,Puma Fashion Product 670,Fashion,Puma,27857.35,40980.39,32.02,1.5,3707,3541,166
Myntra,Reebok Sports Product 325,Sports,Reebok,46762.36,52850.6,11.52,4.4,626,320,306
Myntra,Funskool Toys Product 545,Toys,Funskool,17823.15,21543.3,17.27,2.5,4148,3842,306
Myntra,Decathlon Sports Product 913,Sports,Decathlon,33693.13,48693.37,30.81,2.6,1645,1305,340
Myntra,Funskool Toys Product 988,Toys,Funskool,43969.99,52670.83,16.52,2.2,3095,1698,1397
Myntra,L'Oreal Beauty Product 907,Beauty,L'Oreal,19509.63,22888.86,14.76,4,4488,3166,1322
Myntra,Levi's Fashion Product 178,Fashion,Levi's,31327.38,42589.03,26.44,2.4,3128,3070,58
Myntra,Nivea Beauty Product 159,Beauty,Nivea,23606.53,30694.41,23.09,3.4,4543,3279,1264
Myntra,Decathlon Sports Product 756,Sports,Decathlon,13430.31,15799.69,15,1.7,4107,3724,383
Myntra,OnePlus Electronics Product 691,Electronics,OnePlus,14159.06,17691.48,19.97,3.6,4206,3403,803
Myntra,Under Armour Sports Product 911,Sports,Under Armour,38688.34,55167.97,29.87,2.3,4124,2240,1884
Myntra,Apple Electronics Product 120,Electronics,Apple,42879.84,56384.27,23.95,2.4,2935,1951,984
Myntra,Lego Toys Product 639,Toys,Lego,23300.54,33528.94,30.51,4.5,4900,3977,923
Myntra,Head Sports Product 339,Sports,Head,11684.92,14754.47,20.8,1.4,1382,1149,233
Myntra,Adidas Fashion Product 535,Fashion,Adidas,31700.44,37523.99,15.52,2.9,3259,3056,203
Myntra,Samsung Home Appliances Product 818,Home Appliances,Samsung,9405.11,10614.8,11.4,4.8,1780,1008,772
Myntra,Lego Toys Product 925,Toys,Lego,38397,54924.85,30.09,2.7,1681,1346,335
Myntra,Whirlpool Home Appliances Product 496,Home Appliances,Whirlpool,18267.3,21377.94,14.55,2.5,2423,2213,210
Myntra,Penguin Books Product 602,Books,Penguin,34005.32,45455.64,25.19,2.4,2846,2467,379
Myntra,Zara Fashion Product 193,Fashion,Zara,45715.48,57242.25,20.14,4.3,666,455,211
Myntra,L'Oreal Beauty Product 635,Beauty,L'Oreal,27422.74,31880.52,13.98,2.7,1840,1762,78
Myntra,Reebok Sports Product 526,Sports,Reebok,22920.8,26496.36,13.49,2.9,4769,3840,929
Myntra,Fisher-Price Toys Product 256,Toys,Fisher-Price,38743.69,50075.19,22.63,1.7,2309,1675,634
Myntra,Scholastic Books Product 382,Books,Scholastic,38722.79,52977.01,26.91,3.7,4492,4131,361
Myntra,Apple Electronics Product 804,Electronics,Apple,3116.86,3777.33,17.49,3.9,3458,1918,1540
Myntra,Samsung Home Appliances Product 366,Home Appliances,Samsung,20244.63,29293.31,30.89,2.9,2501,2467,34
Myntra,Funskool Toys Product 317,Toys,Funskool,47356.17,59155.55,19.95,2,3285,3189,96
Myntra,Nike Fashion Product 772,Fashion,Nike,39414.02,57511.22,31.47,1.3,1396,738,658
Myntra,Nivea Beauty Product 375,Beauty,Nivea,15800.68,18863.1,16.23,4.5,3173,1881,1292
Myntra,Dove Beauty Product 913,Beauty,Dove,16143.5,20596.2,21.62,1.7,170,107,63
Myntra,Puma Fashion Product 274,Fashion,Puma,45452.63,67105.84,32.27,3.3,2348,2117,231
Myntra,L'Oreal Beauty Product 829,Beauty,L'Oreal,21262.88,31167.89,31.78,2.1,406,257,149
Myntra,Nivea Beauty Product 817,Beauty,Nivea,27015.98,30401.04,11.13,4.3,427,235,192
Myntra,Lego Toys Product 237,Toys,Lego,13855.63,20109.24,31.1,4.6,3794,2135,1659
Myntra,Sony Electronics Product 416,Electronics,Sony,33925.56,50167.68,32.38,1.6,2710,1391,1319
Myntra,Sony Electronics Product 502,Electronics,Sony,2120.03,2423.74,12.53,2.4,1737,1691,46
Myntra,Hachette Books Product 179,Books,Hachette,40556.78,46664.28,13.09,3.2,2911,2807,104
Myntra,Head Sports Product 387,Sports,Head,391,551.56,29.11,2.3,4981,3042,1939
Myntra,Oxford Books Product 134,Books,Oxford,29771.19,42550.85,30.03,3.1,3907,3753,154
Myntra,Mattel Toys Product 786,Toys,Mattel,45376.39,63291.61,28.31,2.9,4093,4084,9
Myntra,Zara Fashion Product 281,Fashion,Zara,41612.01,57426.7,27.54,3.9,3407,2557,850
Myntra,Lakme Beauty Product 790,Beauty,Lakme,18435.07,22375.18,17.61,1.3,2152,1416,736
Myntra,Dove Beauty Product 118,Beauty,Dove,30291.3,45112.72,32.85,2.6,4368,2497,1871
Myntra,HarperCollins Books Product 960,Books,HarperCollins,14082.29,19902.21,29.24,3.9,2032,1768,264
Myntra,HarperCollins Books Product 668,Books,HarperCollins,36930.95,43244.44,14.6,3.8,1754,1057,697
Myntra,Apple Electronics Product 507,Electronics,Apple,18722.9,27223.33,31.22,2.7,1911,1730,181
Myntra,L'Oreal Beauty Product 145,Beauty,L'Oreal,1920.6,2347.28,18.18,2.8,4739,4583,156
Myntra,Samsung Home Appliances Product 793,Home Appliances,Samsung,36710.14,48937.21,24.99,4,3083,2745,338
Myntra,Lego Toys Product 283,Toys,Lego,1084.28,1466.5,26.06,2.1,4837,2458,2379
Myntra,Hasbro Toys Product 681,Toys,Hasbro,21785.21,25572.4,14.81,3.7,4868,3752,1116
Myntra,Lego Toys Product 304,Toys,Lego,8010.68,10872.43,26.32,2.5,302,294,8
Myntra,Lakme Beauty Product 381,Beauty,Lakme,25854.03,36080.19,28.34,1.8,872,744,128
Myntra,LG Home Appliances Product 540,Home Appliances,LG,45969.32,66672,31.05,2.5,4605,4329,276
Myntra,Oxford Books Product 520,Books,Oxford,4115.51,5320.23,22.64,4.3,3736,2972,764
Myntra,Reebok Sports Product 124,Sports,Reebok,47989.54,70322.09,31.76,2.4,3598,2194,1404
Myntra,Zara Fashion Product 396,Fashion,Zara,26603.46,36835.8,27.78,1.5,477,400,77
Myntra,Lego Toys Product 393,Toys,Lego,48301.62,57543.78,16.06,3.6,2855,2307,548
Myntra,HarperCollins Books Product 371,Books,HarperCollins,24907.95,29006.39,14.13,4.1,3419,1931,1488
Myntra,Scholastic Books Product 761,Books,Scholastic,34464.93,47919.52,28.08,2.3,4810,3631,1179
Myntra,HarperCollins Books Product 648,Books,HarperCollins,3218.23,3581.67,10.15,2.3,4422,4143,279
Myntra,Apple Electronics Product 495,Electronics,Apple,26216.61,38911.87,32.63,4.1,2708,2455,253
Myntra,Scholastic Books Product 812,Books,Scholastic,42763.32,58650.54,27.09,2.8,1791,1358,433
Myntra,Penguin Books Product 655,Books,Penguin,48582.71,58531.75,17,3.8,4687,3364,1323
Myntra,L'Oreal Beauty Product 180,Beauty,L'Oreal,7851.5,9668.92,18.8,3.5,4188,2223,1965
Myntra,LG Home Appliances Product 785,Home Appliances,LG,17524.68,23605.66,25.76,4.9,1267,1075,192
Myntra,Hasbro Toys Product 148,Toys,Hasbro,15877.65,18269.33,13.09,1.9,3601,3459,142
Myntra,Nivea Beauty Product 661,Beauty,Nivea,46975.02,65016.79,27.75,3,1601,966,635
Myntra,Levi's Fashion Product 783,Fashion,Levi's,46046.74,67619.29,31.9,4.9,363,347,16
Myntra,Fisher-Price Toys Product 847,Toys,Fisher-Price,45852.02,56166.93,18.36,1.1,694,564,130
Myntra,Maybelline Beauty Product 558,Beauty,Maybelline,10384.93,12025.38,13.64,1.6,3430,2275,1155
Myntra,LG Home Appliances Product 221,Home Appliances,LG,47218.09,60308.35,21.71,2.8,2853,1943,910
Myntra,Under Armour Sports Product 655,Sports,Under Armour,21467.6,24812.03,13.48,3.8,3877,3451,426
Myntra,Reebok Sports Product 659,Sports,Reebok,38860.07,53419.35,27.25,4.3,920,889,31
Myntra,Dove Beauty Product 532,Beauty,Dove,3665.49,4066.22,9.86,3.7,98,98,0
Myntra,Whirlpool Home Appliances Product 211,Home Appliances,Whirlpool,48874.54,65877.31,25.81,3.8,3151,1737,1414
Myntra,Hachette Books Product 111,Books,Hachette,44879.15,52207.27,14.04,3.2,2269,1522,747
Myntra,LG Home Appliances Product 505,Home Appliances,LG,14786.69,20715.84,28.62,3.6,1139,1033,106
Myntra,Samsung Home Appliances Product 771,Home Appliances,Samsung,43360.4,63358.82,31.56,2.4,3067,2223,844
Myntra,Hachette Books Product 282,Books,Hachette,35541.41,53209.71,33.21,1.1,491,483,8
Myntra,Apple Electronics Product 511,Electronics,Apple,989.28,1137.07,13,1.9,1116,705,411
Myntra,Head Sports Product 988,Sports,Head,29497.2,39260.85,24.87,2.2,902,585,317
Myntra,Decathlon Sports Product 740,Sports,Decathlon,18913.57,25179.11,24.88,3.5,3641,2390,1251
Myntra,Samsung Electronics Product 604,Electronics,Samsung,41922.43,50217.75,16.52,3.6,3788,3340,448
Myntra,Levi's Fashion Product 812,Fashion,Levi's,43213.65,55748.73,22.48,4.3,2084,1509,575
Myntra,Penguin Books Product 812,Books,Penguin,16268.86,21781.42,25.31,3.9,3977,2183,1794
Myntra,Scholastic Books Product 491,Books,Scholastic,31572.64,39006.94,19.06,3.5,4602,2310,2292
Myntra,Reebok Sports Product 859,Sports,Reebok,14979.14,21988.38,31.88,1.1,4163,2524,1639
Myntra,Yonex Sports Product 325,Sports,Yonex,48692,71464.25,31.87,1.3,36,30,6
Myntra,Hachette Books Product 673,Books,Hachette,967.43,1120.78,13.68,4.9,2633,1612,1021
Myntra,Fisher-Price Toys Product 653,Toys,Fisher-Price,32898.2,44709.52,26.42,1.2,1603,1490,113
Myntra,Reebok Sports Product 627,Sports,Reebok,33736.83,42896.67,21.35,4.6,3442,2126,1316
Myntra,Yonex Sports Product 722,Sports,Yonex,45990.59,66815.09,31.17,3.1,2147,1698,449
Myntra,Nike Fashion Product 190,Fashion,Nike,25538.48,32622.32,21.71,1.2,3066,2914,152
Myntra,Oxford Books Product 995,Books,Oxford,26715.46,30848.58,13.4,1.9,3428,2615,813
Myntra,Reebok Sports Product 620,Sports,Reebok,3911.08,4730.08,17.31,2.5,2326,2026,300
Myntra,Levi's Fashion Product 811,Fashion,Levi's,46638.62,69530.48,32.92,1.9,4110,2895,1215
Myntra,Oxford Books Product 637,Books,Oxford,12567.49,14026.03,10.4,2.9,2777,2319,458
Myntra,Whirlpool Home Appliances Product 837,Home Appliances,Whirlpool,37636.76,46180.32,18.5,3.7,274,203,71
Myntra,HarperCollins Books Product 885,Books,HarperCollins,47593.36,68976.1,31,2.1,4835,4353,482
Myntra,Scholastic Books Product 743,Books,Scholastic,45727.01,58506.98,21.84,1.4,1599,828,771
Myntra,L'Oreal Beauty Product 985,Beauty,L'Oreal,31624.94,35369.59,10.59,4.1,3070,2528,542
Myntra,L'Oreal Beauty Product 325,Beauty,L'Oreal,48857.98,56125.91,12.95,4,1688,1572,116
Myntra,Head Sports Product 224,Sports,Head,13019.12,16846.24,22.72,4.8,3203,3152,51
Myntra,HarperCollins Books Product 877,Books,HarperCollins,48432.04,71315.99,32.09,3.5,2333,2077,256
Myntra,Apple Electronics Product 386,Electronics,Apple,16344.63,21820,25.09,4.8,4403,2751,1652
Myntra,Funskool Toys Product 879,Toys,Funskool,5646.78,8317.78,32.11,3.1,3772,1985,1787
Myntra,Oxford Books Product 175,Books,Oxford,24517.03,34472.66,28.88,3.5,4073,3222,851
Myntra,Penguin Books Product 248,Books,Penguin,13329.22,19910.24,33.05,2.4,807,787,20
Myntra,Dove Beauty Product 464,Beauty,Dove,2576.09,3453.1,25.4,2.7,4921,3421,1500
Myntra,Yonex Sports Product 643,Sports,Yonex,31355.56,45718.01,31.42,2.7,2277,2041,236
Myntra,OnePlus Electronics Product 916,Electronics,OnePlus,48259.64,72188.88,33.15,1.1,2262,1933,329
Myntra,Reebok Sports Product 809,Sports,Reebok,4540.89,6229.66,27.11,2.9,2005,1045,960
Myntra,Nike Fashion Product 383,Fashion,Nike,21898.08,27264.89,19.68,3.9,199,176,23
Myntra,Lakme Beauty Product 466,Beauty,Lakme,27036.67,31595.22,14.43,1.8,3553,1911,1642
Myntra,Reebok Sports Product 980,Sports,Reebok,21377.47,27820.39,23.16,3.4,4215,3941,274
Myntra,Samsung Home Appliances Product 614,Home Appliances,Samsung,47097.41,53578.28,12.1,2,2727,1627,1100
Myntra,Puma Fashion Product 741,Fashion,Puma,11431.15,12691.88,9.93,4.8,377,221,156
Myntra,Oxford Books Product 887,Books,Oxford,27133.45,35193.03,22.9,3.2,2143,2100,43
Myntra,Whirlpool Home Appliances Product 395,Home Appliances,Whirlpool,35230.94,51297.87,31.32,1.3,1823,1466,357
Myntra,Dell Electronics Product 936,Electronics,Dell,18551.91,26611.22,30.29,3.5,99,92,7
Myntra,Mattel Toys Product 895,Toys,Mattel,31409.69,39968.94,21.41,3.4,623,480,143
Myntra,Sony Electronics Product 436,Electronics,Sony,14793.38,20283.5,27.07,3.4,4435,2420,2015
Myntra,Fisher-Price Toys Product 765,Toys,Fisher-Price,49365.49,57454.1,14.08,2.5,862,750,112
Myntra,Puma Fashion Product 629,Fashion,Puma,1835.05,2298.02,20.15,1.6,100,86,14
Myntra,Apple Electronics Product 190,Electronics,Apple,45290.24,61589.05,26.46,2.2,970,553,417
Myntra,Philips Home Appliances Product 126,Home Appliances,Philips,25455.4,36583.72,30.42,2.9,2698,2184,514
Myntra,Lakme Beauty Product 954,Beauty,Lakme,43885.11,53085.79,17.33,1.3,3827,3268,559
Myntra,Yonex Sports Product 472,Sports,Yonex,29088.61,35456.27,17.96,1.7,2770,1583,1187
Myntra,HarperCollins Books Product 314,Books,HarperCollins,40448.03,55753.02,27.45,3.4,967,556,411
Myntra,Oxford Books Product 561,Books,Oxford,5236.34,5805.45,9.8,3.3,3179,2458,721
Myntra,Funskool Toys Product 773,Toys,Funskool,28154.06,38349.71,26.59,3.4,1070,1022,48
Myntra,Puma Fashion Product 618,Fashion,Puma,23091.02,34079.62,32.24,4.9,2762,2006,756
Myntra,Hachette Books Product 694,Books,Hachette,23355.24,27737.47,15.8,2.1,1274,832,442
Myntra,Sony Electronics Product 230,Electronics,Sony,44288.96,65659.68,32.55,2.6,2742,1551,1191
Myntra,Decathlon Sports Product 597,Sports,Decathlon,13243.4,16862.7,21.46,1.9,636,592,44
Myntra,Adidas Fashion Product 119,Fashion,Adidas,25741.2,30207.95,14.79,4.4,1360,834,526
Myntra,Lakme Beauty Product 922,Beauty,Lakme,32016.3,38134.93,16.04,3.6,4891,4569,322
Myntra,Apple Electronics Product 634,Electronics,Apple,43847.8,50893.31,13.84,4.2,2265,1406,859
Myntra,Mattel Toys Product 807,Toys,Mattel,31738.69,46769.29,32.14,4.8,2914,2619,295
Myntra,Fisher-Price Toys Product 142,Toys,Fisher-Price,22143.96,30326.64,26.98,1.4,1062,956,106
Myntra,Head Sports Product 606,Sports,Head,8551.71,10609.27,19.39,3.3,3327,3021,306
Myntra,Apple Electronics Product 999,Electronics,Apple,25587.88,31113.82,17.76,2.3,120,92,28
Myntra,Oxford Books Product 136,Books,Oxford,12444.61,14989.38,16.98,4.9,2180,1793,387
Myntra,Bosch Home Appliances Product 505,Home Appliances,Bosch,38242.45,45258.53,15.5,3.7,1434,758,676
Myntra,Dell Electronics Product 896,Electronics,Dell,1352.61,2002.67,32.46,3.6,1247,939,308
Myntra,Hachette Books Product 621,Books,Hachette,26456.09,37942.75,30.27,4.6,2654,2573,81
Myntra,Zara Fashion Product 139,Fashion,Zara,17266.09,24115.92,28.4,3.2,3511,1775,1736
Myntra,Puma Fashion Product 330,Fashion,Puma,37024.66,42056.97,11.97,4.6,4212,2736,1476
Myntra,Scholastic Books Product 642,Books,Scholastic,29599.05,41366.29,28.45,2.8,2502,2126,376
Myntra,Hasbro Toys Product 507,Toys,Hasbro,44605.67,60615.4,26.41,2.3,526,473,53
Myntra,Fisher-Price Toys Product 311,Toys,Fisher-Price,20847.3,29422.53,29.15,4.9,3952,2621,1331
Myntra,Apple Electronics Product 627,Electronics,Apple,29284.17,41950.09,30.19,1.4,1071,1041,30
Myntra,Yonex Sports Product 140,Sports,Yonex,40987.02,60099.6,31.8,3.9,4868,2928,1940
Myntra,Penguin Books Product 138,Books,Penguin,122.35,170.58,28.27,3.2,4614,3252,1362
Myntra,Mattel Toys Product 583,Toys,Mattel,38515.16,47725.56,19.3,4.1,831,720,111
Myntra,Funskool Toys Product 312,Toys,Funskool,38810.43,55428.44,29.98,4.2,3574,2116,1458
Myntra,Samsung Home Appliances Product 425,Home Appliances,Samsung,48694.31,53612.69,9.17,4.1,3958,3621,337
Myntra,Puma Fashion Product 903,Fashion,Puma,33976.19,47449.8,28.4,4.4,2817,2235,582
Myntra,Penguin Books Product 401,Books,Penguin,36739.6,46479.29,20.95,1.8,1164,1042,122
Myntra,Dove Beauty Product 269,Beauty,Dove,9082.21,10701.44,15.13,2,2506,1408,1098
Myntra,L'Oreal Beauty Product 740,Beauty,L'Oreal,34940.2,40770.94,14.3,1.3,1990,1212,778
Myntra,Hasbro Toys Product 289,Toys,Hasbro,13717.03,16858.71,18.64,3.9,2320,1175,1145
Myntra,Yonex Sports Product 738,Sports,Yonex,12576.47,15642.78,19.6,2.6,3707,2295,1412
Myntra,Adidas Fashion Product 494,Fashion,Adidas,23178.04,26524.73,12.62,3.3,4110,4016,94
Myntra,Funskool Toys Product 376,Toys,Funskool,19516.28,23824.94,18.08,3,4998,4364,634
Myntra,Decathlon Sports Product 362,Sports,Decathlon,8766.49,11589.06,24.36,2.9,3732,2706,1026
Myntra,Bosch Home Appliances Product 374,Home Appliances,Bosch,45067.9,58504.6,22.97,4.8,3677,2971,706
Myntra,Apple Electronics Product 505,Electronics,Apple,14763.99,21296.97,30.68,1.8,3365,1909,1456
Myntra,Oxford Books Product 344,Books,Oxford,41468.96,57450.86,27.82,4.1,3688,3085,603
Myntra,Sony Electronics Product 400,Electronics,Sony,45624.07,52021.37,12.3,2.4,3620,3452,168
Myntra,Samsung Electronics Product 616,Electronics,Samsung,26410.21,38221.47,30.9,4.8,3892,2876,1016
Myntra,Funskool Toys Product 482,Toys,Funskool,28928.45,35982.95,19.61,2.2,793,564,229
Myntra,Fisher-Price Toys Product 312,Toys,Fisher-Price,11656.22,17302.04,32.63,4.3,3543,2380,1163
Myntra,Penguin Books Product 543,Books,Penguin,47324.94,66806.35,29.16,3.3,1012,674,338
Myntra,Puma Fashion Product 713,Fashion,Puma,42660.99,58088.24,26.56,3,3890,3551,339
Myntra,Lego Toys Product 219,Toys,Lego,17651.04,26297.09,32.88,4,2690,1358,1332
Myntra,Head Sports Product 130,Sports,Head,11781.35,17293.36,31.87,4.5,4110,3515,595
Myntra,Oxford Books Product 285,Books,Oxford,33975.02,49597.96,31.5,1.6,3327,3273,54
Myntra,OnePlus Electronics Product 354,Electronics,OnePlus,1433.49,2099.38,31.72,1.1,1263,773,490
Myntra,HarperCollins Books Product 311,Books,HarperCollins,45325.19,57741.57,21.5,4.1,2808,2210,598
Myntra,Dove Beauty Product 611,Beauty,Dove,41880.04,51035.03,17.94,2.4,1090,926,164
Myntra,Samsung Home Appliances Product 390,Home Appliances,Samsung,30267.51,33577.53,9.86,3.9,71,39,32
Myntra,Samsung Electronics Product 417,Electronics,Samsung,21661.06,25607.84,15.41,1.1,199,119,80
Myntra,Samsung Electronics Product 715,Electronics,Samsung,28554.92,42651.03,33.05,3,965,670,295
Myntra,Puma Fashion Product 486,Fashion,Puma,9386.98,10558.37,11.09,3.6,941,736,205
Myntra,Puma Fashion Product 953,Fashion,Puma,36682.8,53035.14,30.83,3.5,1258,697,561
Myntra,Philips Home Appliances Product 814,Home Appliances,Philips,34007.36,41014.64,17.08,4.6,2170,1487,683
Myntra,Adidas Fashion Product 470,Fashion,Adidas,49120.97,69501.89,29.32,1.1,298,196,102
Myntra,Nivea Beauty Product 331,Beauty,Nivea,2453.9,3357.46,26.91,3.2,366,232,134
Myntra,Dove Beauty Product 653,Beauty,Dove,4107.51,5644.72,27.23,1.8,2639,1514,1125
Myntra,Reebok Sports Product 459,Sports,Reebok,34523.66,40862.77,15.51,4.9,1084,870,214
Myntra,Penguin Books Product 101,Books,Penguin,3722.57,5199.73,28.41,3.3,4083,2257,1826
Myntra,Hachette Books Product 150,Books,Hachette,11038.46,14631.47,24.56,4.8,1921,1282,639
Myntra,Penguin Books Product 452,Books,Penguin,49051.04,62104.5,21.02,3.4,67,36,31
Myntra,Mattel Toys Product 870,Toys,Mattel,31273.05,42653.06,26.68,1.7,49,27,22
Myntra,Reebok Sports Product 762,Sports,Reebok,17406.85,23687.13,26.51,4.7,3456,2271,1185
Myntra,Penguin Books Product 111,Books,Penguin,8132.83,10475.14,22.36,3.9,1561,913,648
Myntra,Samsung Home Appliances Product 609,Home Appliances,Samsung,41755.99,49552.05,15.73,1.4,1505,1182,323
Myntra,Samsung Electronics Product 381,Electronics,Samsung,23320.36,29809.97,21.77,5,2666,2430,236
Myntra,Yonex Sports Product 464,Sports,Yonex,16210.76,19912.75,18.59,4.1,2378,2125,253
Myntra,Lakme Beauty Product 968,Beauty,Lakme,29060.58,38602.27,24.72,2,660,534,126
Myntra,Funskool Toys Product 627,Toys,Funskool,19919.94,26170.83,23.88,4.3,4154,3311,843
Myntra,Oxford Books Product 564,Books,Oxford,947.79,1190.5,20.39,2.4,212,107,105
